,feature 1,feature 2,group
681,187591.0,9527.0,age >90
682,339793.0,6752.0,age >90
683,130430.0,6122.0,age >90
684,226360.0,7174.0,age >90
685,1614590.0,15124.0,age >90
686,89520.0,13078.0,age >90
687,53299.0,13700.0,age >90
688,298467.0,11209.0,age >90
689,224583.0,11382.0,age >90
690,409789.0,6124.0,age >90
691,236746.0,7778.0,age >90
692,272166.0,12908.0,age >90
693,227397.0,11339.0,age >90
694,131959.0,36376.0,age >90
695,124379.0,15938.0,age >90
696,313995.0,9538.0,age >90
697,943897.0,6369.0,age >90
698,280972.0,9628.0,age >90
699,98916.0,19979.0,age >90
700,159406.0,9970.0,age >90
701,230811.0,20004.0,age >90
702,226729.0,22060.0,age >90
703,221348.0,20409.0,age >90
704,286903.0,18169.0,age >90
705,429778.0,13561.0,age >90
706,194968.0,18120.0,age >90
707,966055.0,20339.0,age >90
708,611815.0,7459.0,age >90
709,1312037.0,7957.0,age >90
710,125727.0,13006.0,age >90
711,135059.0,22196.0,age >90
712,408808.0,19879.0,age >90
713,447892.0,10249.0,age >90
714,167795.0,9729.0,age >90
715,378658.0,18354.0,age >90
716,166625.0,21180.0,age >90
717,901989.0,14942.0,age >90
718,941984.0,9062.0,age >90
719,523356.0,7478.0,age >90
720,313278.0,15635.0,age >90
721,871439.0,12340.0,age >90
722,257118.0,10576.0,age >90
723,555623.0,12695.0,age >90
724,385033.0,10573.0,age >90
725,576658.0,19424.0,age >90
726,63527.0,13432.0,age >90
727,142709.0,9382.0,age >90
728,81823.0,21217.0,age >90
729,894332.0,12409.0,age >90
730,1505734.0,15709.0,age >90
731,137815.0,17304.0,age >90
732,179042.0,7934.0,age >90
733,283024.0,17045.0,age >90
734,212562.0,9151.0,age >90
735,333609.0,15150.0,age >90
736,535503.0,10958.0,age >90
737,98698.0,5268.0,age >90
738,128080.0,13678.0,age >90
739,240329.0,11972.0,age >90
740,206929.0,14444.0,age >90
741,175196.0,18710.0,age >90
742,613703.0,11053.0,age >90
743,540948.0,14295.0,age >90
744,224014.0,17330.0,age >90
745,141278.0,9537.0,age >90
746,247135.0,19418.0,age >90
747,191115.0,15187.0,age >90
748,36111.0,14906.0,age >90
749,97472.0,31766.0,age >90
750,832250.0,8986.0,age >90
751,235950.0,13939.0,age >90
752,109068.0,14822.0,age >90
753,165020.0,12736.0,age >90
754,437008.0,18144.0,age >90
755,121140.0,12735.0,age >90
756,842301.0,9748.0,age >90
757,222390.0,8879.0,age >90
758,242235.0,9582.0,age >90
759,190244.0,9805.0,age >90
760,208997.0,18605.0,age >90
761,132575.0,11038.0,age >90
762,79365.0,16739.0,age >90
763,434835.0,16366.0,age >90
764,156507.0,20404.0,age >90
765,83364.0,13664.0,age >90
766,119067.0,9772.0,age >90
767,826924.0,6692.0,age >90
768,315904.0,13840.0,age >90
769,270985.0,16389.0,age >90
770,91593.0,23728.0,age >90
771,63875.0,16596.0,age >90
772,72856.0,10066.0,age >90
773,807992.0,15647.0,age >90
774,289631.0,19407.0,age >90
775,299585.0,18473.0,age >90
776,135061.0,15953.0,age >90
777,302999.0,14093.0,age >90
778,570322.0,12230.0,age >90
779,365660.0,16926.0,age >90
780,325297.0,11036.0,age >90
781,393712.0,25197.0,age >90
782,144234.0,13795.0,age >90
783,132112.0,11332.0,age >90
784,310427.0,10973.0,age >90
785,26770.0,7555.0,age >90
786,534651.0,15606.0,age >90
787,73486.0,10943.0,age >90
788,187567.0,14345.0,age >90
789,206091.0,8659.0,age >90
790,75601.0,15054.0,age >90
791,48727.0,7454.0,age >90
792,182709.0,7585.0,age >90
793,225520.0,19139.0,age >90
794,518042.0,12032.0,age >90
795,710174.0,15863.0,age >90
796,600058.0,8259.0,age >90
797,146886.0,17314.0,age >90
798,352011.0,10082.0,age >90
799,212290.0,15332.0,age >90
800,775734.0,19359.0,age >90
801,467430.0,28173.0,age >90
802,548281.0,8459.0,age >90
803,71522.0,12347.0,age >90
804,251230.0,8605.0,age >90
805,475510.0,11353.0,age >90
806,590612.0,15297.0,age >90
807,1097641.0,14513.0,age >90
808,220681.0,12572.0,age >90
809,748409.0,16082.0,age >90
810,65707.0,16578.0,age >90
811,496611.0,9800.0,age >90
812,79090.0,10225.0,age >90
813,378380.0,16997.0,age >90
814,65765.0,9763.0,age >90
815,461560.0,13990.0,age >90
816,661094.0,8107.0,age >90
817,94899.0,23716.0,age >90
818,81182.0,15618.0,age >90
819,77751.0,38424.0,age >90
820,24274.0,25002.0,age >90
821,190460.0,19115.0,age >90
822,259118.0,10108.0,age >90
823,725265.0,15654.0,age >90
824,278583.0,12345.0,age >90
825,48882.0,6563.0,age >90
826,245048.0,15033.0,age >90
827,228740.0,7755.0,age >90
828,338593.0,14161.0,age >90
829,2001648.0,9399.0,age >90
830,2376086.0,14609.0,age >90
831,99241.0,13708.0,age >90
832,401572.0,11290.0,age >90
833,121145.0,7729.0,age >90
834,409452.0,13751.0,age >90
835,618934.0,12752.0,age >90
836,91246.0,12354.0,age >90
837,687097.0,9518.0,age >90
838,53883.0,18376.0,age >90
839,84531.0,23650.0,age >90
840,141128.0,17428.0,age >90
841,475292.0,23617.0,age >90
842,716571.0,11144.0,age >90
843,1427746.0,12823.0,age >90
844,561180.0,11164.0,age >90
845,329572.0,10642.0,age >90
846,404655.0,9461.0,age >90
847,137201.0,5223.0,age >90
848,784737.0,7152.0,age >90
849,391058.0,10563.0,age >90
850,254743.0,8344.0,age >90
851,328430.0,23200.0,age >90
852,634708.0,10277.0,age >90
853,1037779.0,15835.0,age >90
854,164218.0,18919.0,age >90
855,640532.0,8808.0,age >90
856,3520049.0,9698.0,age >90
857,489307.0,11475.0,age >90
858,120742.0,14158.0,age >90
859,399375.0,21162.0,age >90
860,124686.0,16759.0,age >90
861,214783.0,19665.0,age >90
862,828195.0,13024.0,age >90
863,384330.0,13184.0,age >90
864,1187827.0,14904.0,age >90
865,441189.0,7426.0,age >90
866,167690.0,13929.0,age >90
867,721911.0,8065.0,age >90
868,413555.0,8778.0,age >90
