,Class,Lipid,"log2 Fold-Change, brain region 1","log2 Fold-Change, brain region 2",color
379,DG,DG 38:6|DG 16:0_22:6,-0.0721516743143233,-0.112498585758566,#000075
380,DG,DG 38:5|DG 18:1_20:4,0.0544698829262522,0.0380641465601883,#000075
381,Cer,Cer 43:2;3O|Cer 13:0;O2/30:2;O,0.0542497872427603,0.198546078566274,purple
382,DG,DG 38:4|DG 16:0_22:4,0.0722447479884671,-0.0914841002636493,#000075
383,DG,DG 38:4|DG 18:0_20:4,-0.0403532572801062,-0.0118912724458369,#000075
384,DG,DG 38:1|DG 18:0_20:1,0.303244026476758,0.060627457365289,#000075
385,DG,DG 40:6|DG 18:0_22:6,-0.0384592852898287,-0.0939757606455593,#000075
386,DG,DG 40:4|DG 18:0_22:4,0.154590664994178,-0.0158258638569322,#000075
387,DG,DG 40:2|DG 18:1_22:1,0.71413605975944,0.248708459784186,#000075
388,DG,DG 40:1|DG 22:0_18:1,0.181557479388175,0.342255601513028,#000075
389,PC,PC 30:1,-0.149851096830371,0.0666956562240273,#f032e6
390,DG,DG 41:1|DG 23:0_18:1,0.151086202018657,0.413726187919131,#000075
392,PC O-,PC O-32:0,-0.105304664704956,-0.125574273372067,#bfef45
393,DG,DG 42:2|DG 18:1_24:1,0.392943222071899,0.407356078467814,#000075
394,DG,DG 42:1|DG 24:0_18:1,0.150394286021601,0.384455554092131,#000075
395,HexCer,HexCer 36:1;O2|HexCer 18:1;O2/18:0,0.260836985514018,-0.256587103069041,#fabebe
396,DG,DG 44:12|DG 22:6_22:6,-0.760297817915024,-0.333650574418193,#000075
398,PC O-,PC O-34:2,-0.344686826453334,-0.203741717664439,#bfef45
399,PC O-,PC O-35:8,-0.0728290619258658,0.0381890687502455,#bfef45
400,SM,SM 38:2;O2,-0.0800222667582347,0.0452380649624722,green
401,PC O-,PC O-35:2,0.18650248892008,-0.142566422911386,#bfef45
403,PE O-,PE O-39:4,0.0897581229493412,-0.180586053610401,#e6beff
404,PC O-,PC O-37:10,-0.161876595741763,0.00509997232574477,#bfef45
405,PC O-,PC O-37:9,-0.053539445172472,0.111336162879009,#bfef45
406,PC O-,PC O-37:9,-0.142322575496969,0.0392858763663604,#bfef45
407,PC O-,PC O-37:8,-0.196078262039489,-0.0467117133386203,#bfef45
408,PC O-,PC O-37:8,-0.109430264008925,-0.0826132443086713,#bfef45
409,HexCer,HexCer 40:2;O2|HexCer 18:1;O2/22:1,-0.198786040130244,-0.0541390722157082,#fabebe
410,HexCer,HexCer 40:2;O2|HexCer 18:2;O2/22:0,-0.00604979684063522,-0.105457723759447,#fabebe
411,PC O-,PC O-38:10,-0.0769725181702761,-0.0512943551613461,#bfef45
412,PC O-,PC O-38:8,-0.203978115747681,-0.0639280481279414,#bfef45
413,PC,PC 37:7,-0.0813394462449608,-0.0472098732734736,#f032e6
